name,Impact Whey Protein,Impact Whey Isolate,Vegan Protein Blend,"Hydrolysed Beef Protein ",Iso:Pro Whey Protein,Soy Protein Isolate,Collagen Protein,Vitamin B12 Tablets,Calcium & Magnesium Tablets,"All-Natural Peanut Butter ",Powdered Peanut Butter,Organic Peanut Butter,All-Natural Almond Butter,All-Natural Cashew Butter,Protein Brownie,Vitamin D3 Softgels,Extreme Gainer Blend,Clear Whey Isolate,Protein Cookie,Essential BCAA 2:1:1 Powder,Immune Health,Vitamin C Plus Tablets,Weight Gainer Blend,Baked Protein Cookie,A-Z Multivitamin Tablets,Layered Protein Bar — Drumstick,Total Protein Blend,Multivitamin,Protein Meal Replacement Blend,Thermopure,Lean Cookie,Vegan Omega 3 Softgels,Cod Liver Oil Softgels,Omega 3-6-9 Softgels,Multivitamin Gummies,Whole Fuel Blend,Omega-3 Plus Softgels,Essential Omega-3,Omega Balance Softgels,Daily Multivitamin Tablets,Organic Chia Super Seeds,Omega-3 Elite,Krill Oil Capsules,Myvitamins Lutein+,Algae Oil Capsules,Diet Protein Blend,Vitamin B Plus,Raspberry Extract Capsules,Vitacholine,100% Dextrose Glucose Carbs,100% Instant Oats,Recovery Gel Elite,100% Cyclic-Dextrin Carbs,100% Maltodextrin Carbs,Oats & Whey Protein Bar,Vitafiber,Oatbran,100% Rolled Oats,100% Gluten-Free Rolled Oats,100% Gluten-Free Instant Oats,100% Waxy Maize Starch,Lean Flapjack,Protein Flapjack,Energy Gel Elite,Electrolytes Plus Tablets,Organic Cacao Powder,Potassium Tablets
epa,,,,"",,,,,,"",,,,,,,,,,,,,,,,,,,,,,0.125,0.07,,,,,0.18,0.4,,,0.53,0.06,,,,,,,,,,,,,,,,,,,,,,"","",""
dha,,,,"",,,,,,"",,,,,,,,,,,,,,,,,,,,,,0.25,0.08,,,,,0.12,0.3,,,0.09,0.028,,0.2,,,,,,,,,,,,,,,,,,,,"","",""
carbs,4,2.5,14,"0.1",0,1.8,0,,,"12",26,12,6.5,18,27,,50,2.7,20,,,,50,38,,18,4,,34,,16,,,,,40,,,,,2.3,,,,,6.5,,,,100,62,20,97,100,44,5,47.3,56,61,61,88,25,32,25,"",20,""
sugar,4,2.5,0.3,"",,0.5,,,,"5.7",17,5.9,4,5.4,4,,14,1,7.3,,,,2.6,16,,2.3,3,,27,,3.6,,,,,3.9,,,,,1.5,,,,,2.7,,,,100,1.1,3.4,,,3.9,,1.2,1,1.2,1.2,,1,20,6.3,"",2.5,""
fibre,0,,1.5,"",,,,,,"7.2",9.8,8.5,12,4.2,2,,,,,,,,3.8,3.9,,7.1,,,8,,1,,,,,11,,,,,34,,,,,,,,,,11,,,,8.3,91,18.2,9.1,9.7,9.7,,5.6,7.8,,"",32,""
protein,82,90,73,"97",95,90,90,,,"30",48,30,25,20,23,,28,80,38,100,,,31.4,13,,20,83,,34,0.2,25,,,,,30,,,,,22,,,,,83,,,,,11,15,,,25,,13,12,12,12,0.3,10,20,,"",29,""
histidine,1.7,1.65,2.19,"1",2.2,2.3,1.1,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","",""
isoleucine,6.4,6.76,4.18,"1.8",5.4,4,1.5,,,"",,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,"","",""
leucine,10.6,10.41,7.77,"3.8",11.9,6.6,2.7,,,"",,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,,,,,,,,,,,,,"","",""
lysine,9.6,9.08,6.33,"0",11.1,5.2,3.5,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","",""
methionine,2.2,2.09,,"0.9",2.3,1.1,0.9,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","",""
cysteine,2.2,1.72,,"0.1",3,0.6,0,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","",""
met_cys,4.4,3.81,1.47,"1",5.3,1.7,0.9,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",""
phenylalanine,3,3.08,,"2.5",5.5,4.5,2.1,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","",""
tyrosine,2.6,2.8,,"1.4",3.5,2.7,1,,,"",,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","",""
phe_tyr,5.6,5.88,7.6,"3.9",9,7.2,3.1,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",""
threonine,6.7,6.6,3.12,"0",4.4,3,1.9,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","",""
tryptophan,1.4,2.15,0.8,"0",2.7,1.1,0,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","",""
valine,5.9,5.54,4.52,"3",5.5,4.2,2.4,,,"",,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,"","",""
vitamina,,,,"",,,,,,"",,,,,,,401,,,,,,,,800,,,,550,,,,800,,300,230,,,,800,,,,3616.66667,,1568,,,,,,,,,,,,,,,,,,,"","",""
vitamind,,,,"",,,,,,"",,,,,,62.5,,,,,5,,,,10,,,5,4.3,,,,5,,5,1.7,,,,5,,,,,,4,,,,,,,,,,,,,,,,,,,"","",""
vitamine,,,,"",,,,,,"",,,24,,,,6.18,,,,22,,,,12,,,32,9.4,,,,,10,6.7,4,,,,10,,,,,,24,,,,,,,,,,,,,,,,,,,"","",""
vitamink,,,,"",,,,,,"",,,,,,,,,,,,,,,75,,,13,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","",""
vitaminc,,,,"",,,,,,"",,,,,,,41.17,,,,160,1000,,,80,,,40,64,,,,,,40,27,,,,60,,,,,,160,,,,,,,,,,,,,,,,,,,"","",""
vitaminb1,,,,"",,,,,,"",,,,,,,0.57,,,,,,,,1.1,,,6.3,0.9,,,,,,,0.33,,,,1.8,,,,,,2.4,91,,,,,0.4,,,,,,,,,,,,0.6,"","",""
vitaminb2,,,,"",,,,,,"",,,,,,,0.72,,,,,,,,1.4,,,6.3,1.9,,,,,,,0.4,,,,1.6,,,,0.21,,2.8,50,,,,,0.6,,,,,,,,,,,,0.8,"","",""
vitaminb3,,,,"",,,,,,"16",,13.1,,,,,8.23,,,,,,,,16,,,12.5,15,,,,,,,6,,,,18,,,,,,32,50,,,,,6.9,,,,,,,,,,,,9.6,"","",""
vitaminb4,,,,"",,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,830,75,150.015,83.05,,,,,,,,,,,,,,,,"","",""
vitaminb5,,,,"",,,,,,"",,,,,,,,,,,,,,,6,,,25,5.2,,,,,,1.5,1.6,,,,,,,,,,,69,,,,,,,,,,,,,,,,,,"","",""
vitaminb6,,,,"",,,,,,"",,,,,,,0.721,,,,,,,,1.4,,,6.3,1.3,5,,,,,0.5,0.5,,,,,,,,,,2.84,41,,,,,0.6,,,,,,,,,,,,0.8,"","",""
vitaminb8,,,,"",,,,,,"101",,130,,,,,,,,,,,,,50,,,75,41,,,,,,30,14,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,"","",""
vitaminb9,,,,"",,,,,,"",,,,,,,171.666667,,,,,,,,333.333333,,,333.333333,276.666667,,,,,,200,111.666667,,,,,,,,,,673.333333,83.3333333,,,,,,,,,,,,,,,,,,"","",""
vitaminb12,,,,"",,,,1000,,"",,,,,,,1.27,,,,,,,,2.5,,,2.6,2.5,21,,,,,2,0.6,,,,,,,,,,5,5,,,,,1.1,,,,,,,,,,,,1.6,"","",""
calcium,,,,"",,,,,800,"",,,,,,,,,,,,,,,200,,,175,758,,,,,,,339,,,,,582,,,,,,,,,,,123,,,,,,,,,,,,10,200,128,""
chloride,300,300,402,"1080",1122,300,6,0,0,"0",504,0,0,0,180,0,180,60,336,0,0,0,240,318,0,576,96,0,1016,0,210,0,0,0,0,530,0,0,0,0,6,0,0,0,0,240,0,0,0,6,6,0,0,6,102,18,0,6,12,12,6,162,522,90,320,0.06,""
chromium,,,,"",,,,,,"",,,,,,,,,,,,,,,40,,,48,31,120,,,,,,13.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","",""
copper,,,,"",,,,,,"0.82",,0.64,,,,,,,,,,,,,1,,,0.25,0.7,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",3.8,""
fluoride,,,,"",,,,,,"",,,,,,,,,,,,,,,,,,,2.8,,,,,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","",""
iodine,,,,"",,,,,,"",,,,,,,76,,,,,,,,150,,,,114,,,,,,20,30,,,,,,,,,,300,,,,,,,,,,,,,,,,,,,"","",""
iron,,,,"",,,,,,"",,,,5,,,,,,,,,,,14,,,7,15,,,,,,,5.3,,,,,6.48,,,,,28,,,,,,,,,,,,,,,,,,,"",13.9,""
magnesium,,,,"",,,,,375,"195",,190,269,240,,,192.98,,,,,,,,100,,,,265,,,,,,,83,,,,,301,,,,,756,,,,,,123,,,,,,,,,,,,20,100,499,""
manganese,,,,"",,,,,,"",,,,,,,,,,,,,,,2,,,,1.6,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",3.8,""
molybdenum,,,,"",,,,,,"",,,,,,,,,,,,,,,50,,,,53,,,,,,,16.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","",""
phosphorus,,,,"",,,,,,"425",,420,,490,,,,,,,,,,,,,,,523,,,,,,,334,,,,,696,,,,,,,,,,,,,,,,,,,,,,,,"",734,""
potassium,,,,"",,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,783,,,,,685,,,,,,,,,,,77,,,,,,,,,,,,132,400,1524,300
selenium,,,,"",,,,,,"",,,,,,,,,,,35,,,,55,,,50,47,,,,,,,18.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",14.3,""
sodium,200,200,268,"720",748,200,4,0,0,"0",336,0,0,0,120,0,120,40,224,0,0,0,160,212,0,384,64,0,720,0,140,0,0,0,0,300,0,0,0,0,4,0,0,0,0,160,0,0,0,4,4,0,0,4,68,12,0,4,8,8,4,108,348,60,210,0.04,""
zinc,,,,"",,,,,,"3.4",,3.3,,5.5,,,,,,,7.5,,,,10,,,7.5,8.7,,,,,,1.5,3,,,,,,,,1.5,,20,,,,,,,,,,,,,,,,,,,"","",""
salt,0.5,0.5,0.67,"1.8",1.87,0.5,0.01,,,"0",0.84,0,0,0,0.3,,0.3,0.1,0.56,,,,0.4,0.53,,0.96,0.16,,1.8,,0.35,,,,,0.75,,,,,0.01,,,,,0.4,,,,0.01,0.01,,,0.01,0.17,0.03,0,0.01,0.02,0.02,0.01,0.27,0.87,0.15,"",0.1,""
